start_sec,end_sec,class,note
5.606,6.607,Clear,interval
7.441,8.508,Clear,interval
9.476,10.377,Clear,interval
11.311,12.312,Clear,interval
13.213,14.248,Clear,interval
15.015,15.983,Clear,interval
16.85,17.751,Clear,interval
18.619,19.586,Clear,interval
20.454,21.455,Clear,interval
23.357,23.524,Clear,interval
24.258,25.025,Drop,interval
26.059,26.86,Drop,interval
28.262,28.929,Drop,interval
30.197,31.031,Drop,interval
32.099,32.866,Drop,interval
34.034,34.801,Drop,interval
36.069,36.737,Drop,interval
37.971,38.672,Drop,interval
39.873,40.607,Drop,interval
41.775,42.476,Drop,interval
46.747,47.381,Hairpin,interval
48.081,48.715,Hairpin,interval
49.616,50.083,Hairpin,interval
50.817,51.585,Hairpin,interval
52.286,52.953,Hairpin,interval
53.62,54.221,Hairpin,interval
54.855,55.489,Hairpin,interval
56.189,56.757,Hairpin,interval
57.491,58.091,Hairpin,interval
58.625,59.259,Hairpin,interval
60.994,61.395,Drive,interval
61.862,62.396,Drive,interval
62.963,63.463,Drive,interval
63.864,64.531,Drive,interval
64.998,65.599,Drive,interval
66.066,66.633,Drive,interval
67.2,67.701,Drive,interval
68.235,68.735,Drive,interval
69.303,69.803,Drive,interval
70.27,70.837,Drive,interval
72.839,73.34,Under,interval
74.107,74.775,Under,interval
75.442,76.109,Under,interval
76.843,77.477,Under,interval
78.178,78.845,Under,interval
79.479,80.28,Under,interval
80.914,81.782,Under,interval
82.516,83.15,Under,interval
83.85,84.518,Under,interval
85.252,85.986,Under,interval
