t_label_or_start,class,t_peak,used_joint
5.005,Clear,5.706,wrist
6.974,Clear,7.875,wrist
9.109,Clear,9.81,wrist
11.111,Clear,11.778,wrist
12.98,Clear,13.58,wrist
14.781,Clear,15.449,wrist
16.617,Clear,17.251,wrist
18.385,Clear,18.886,wrist
20.087,Clear,20.821,wrist
22.956,Clear,22.99,wrist
26.627,Drop,27.394,wrist
28.829,Drop,29.53,wrist
30.898,Drop,31.765,wrist
33.0,Drop,33.834,wrist
35.269,Drop,35.802,wrist
37.371,Drop,37.971,wrist
39.606,Drop,40.24,wrist
41.909,Drop,42.409,wrist
44.077,Drop,44.678,wrist
46.079,Drop,46.847,wrist
50.35,Hairpin,50.851,wrist
52.219,Hairpin,52.486,wrist
53.787,Hairpin,54.154,wrist
55.489,Hairpin,55.856,wrist
57.024,Hairpin,57.457,wrist
58.625,Hairpin,59.126,wrist
60.494,Hairpin,60.928,wrist
62.095,Hairpin,62.462,wrist
63.73,Hairpin,64.064,wrist
65.232,Hairpin,65.599,wrist
72.773,Drive,73.106,wrist
73.974,Drive,74.141,wrist
75.142,Drive,75.342,wrist
76.176,Drive,76.376,wrist
77.244,Drive,77.477,wrist
78.278,Drive,78.645,wrist
79.446,Drive,79.713,wrist
80.414,Drive,80.814,wrist
81.348,Drive,81.915,wrist
82.449,Drive,83.05,wrist
85.085,Under,85.686,wrist
86.653,Under,87.12,wrist
88.188,Under,88.589,wrist
89.623,Under,90.057,wrist
91.158,Under,91.525,wrist
92.626,Under,93.026,wrist
94.161,Under,94.428,wrist
95.495,Under,95.862,wrist
96.964,Under,97.297,wrist
98.298,Under,98.699,wrist
