start_sec,end_sec,class,note
5.472,6.54,Clear,interval
7.407,8.342,Clear,interval
9.343,10.244,Clear,interval
11.144,12.246,Clear,interval
13.013,14.081,Clear,interval
14.982,15.949,Clear,interval
16.617,17.651,Clear,interval
18.452,19.553,Clear,interval
20.32,21.388,Clear,interval
22.723,22.856,Clear,interval
24.191,25.125,Drop,interval
26.059,27.127,Drop,interval
28.161,29.096,Drop,interval
29.997,31.231,Drop,interval
31.999,33.133,Drop,interval
33.967,35.102,Drop,interval
36.003,37.104,Drop,interval
37.905,38.939,Drop,interval
39.74,40.841,Drop,interval
41.642,42.709,Drop,interval
46.48,47.381,Hairpin,interval
47.915,48.682,Hairpin,interval
49.383,50.117,Hairpin,interval
50.784,51.451,Hairpin,interval
52.152,52.819,Hairpin,interval
53.487,54.221,Hairpin,interval
54.755,55.489,Hairpin,interval
55.989,56.757,Hairpin,interval
57.324,58.091,Hairpin,interval
58.492,59.126,Hairpin,interval
60.794,61.461,Drive,interval
61.962,62.429,Drive,interval
62.763,63.33,Drive,interval
63.73,64.364,Drive,interval
64.932,65.566,Drive,interval
65.899,66.667,Drive,interval
67.0,67.768,Drive,interval
68.135,68.669,Drive,interval
69.102,69.736,Drive,interval
70.203,70.938,Drive,interval
72.873,73.307,Under,interval
73.974,74.708,Under,interval
75.208,76.043,Under,interval
76.71,77.377,Under,interval
78.078,78.845,Under,interval
79.446,80.213,Under,interval
80.881,81.715,Under,interval
82.382,83.15,Under,interval
83.717,84.384,Under,interval
85.052,85.752,Under,interval
