t_label_or_start,class,t_peak,used_joint
8.983,Clear,9.75,wrist
10.65,Clear,11.35,wrist
12.25,Clear,12.749,wrist
13.649,Clear,14.183,wrist
15.016,Clear,15.482,wrist
16.416,Clear,16.915,wrist
17.782,Clear,18.249,wrist
19.148,Clear,19.615,wrist
20.715,Clear,21.281,wrist
22.248,Clear,22.715,wrist
32.513,Drop,32.88,wrist
34.179,Drop,34.713,wrist
36.012,Drop,36.746,wrist
37.812,Drop,38.145,wrist
39.412,Drop,39.678,wrist
40.912,Drop,41.278,wrist
42.311,Drop,42.745,wrist
43.844,Drop,44.344,wrist
45.378,Drop,45.911,wrist
47.011,Drop,47.411,wrist
52.076,Hairpin,52.71,elbow
53.776,Hairpin,53.943,elbow
54.709,Hairpin,55.076,elbow
55.876,Hairpin,56.176,elbow
56.976,Hairpin,57.242,elbow
58.042,Hairpin,58.309,elbow
59.209,Hairpin,59.342,elbow
60.175,Hairpin,60.409,elbow
61.242,Hairpin,61.475,elbow
62.341,Hairpin,62.541,elbow
66.807,Drive,68.041,wrist
68.64,Drive,68.774,wrist
69.007,Drive,69.107,wrist
69.707,Drive,70.373,wrist
70.807,Drive,71.107,wrist
71.607,Drive,71.773,wrist
72.241,Drive,72.473,wrist
72.906,Drive,73.206,wrist
73.74,Drive,73.906,wrist
74.439,Drive,74.573,wrist
79.805,Under,80.272,wrist
81.072,Under,81.438,wrist
82.472,Under,82.871,wrist
83.805,Under,84.138,wrist
85.071,Under,85.371,wrist
86.338,Under,86.704,wrist
87.637,Under,88.071,wrist
89.004,Under,89.404,wrist
90.37,Under,90.704,wrist
91.637,Under,91.97,wrist
