start_sec,end_sec,class,note
8.942,9.71,Clear,interval
10.41,11.178,Clear,interval
12.012,12.813,Clear,interval
13.48,14.214,Clear,interval
14.815,15.482,Clear,interval
16.016,16.75,Clear,interval
17.284,17.951,Clear,interval
18.485,19.219,Clear,interval
19.887,20.554,Clear,interval
21.321,22.055,Clear,interval
30.831,31.899,Drop,interval
32.733,33.667,Drop,interval
34.401,35.402,Drop,interval
36.003,36.87,Drop,interval
37.504,38.372,Drop,interval
39.006,39.873,Drop,interval
40.641,41.275,Drop,interval
41.975,42.776,Drop,interval
43.443,44.244,Drop,interval
47.014,47.147,Drop,interval
52.419,52.92,Hairpin,interval
53.654,54.154,Hairpin,interval
54.888,55.422,Hairpin,interval
56.023,56.556,Hairpin,interval
57.124,57.591,Hairpin,interval
58.191,58.659,Hairpin,interval
59.192,59.66,Hairpin,interval
60.193,60.727,Hairpin,interval
61.261,61.762,Hairpin,interval
62.296,62.796,Hairpin,interval
66.066,66.466,Drive,interval
66.934,67.467,Drive,interval
67.901,68.268,Drive,interval
68.702,69.069,Drive,interval
69.436,69.803,Drive,interval
70.17,70.604,Drive,interval
70.904,71.271,Drive,interval
71.572,71.838,Drive,interval
72.205,72.539,Drive,interval
72.873,73.14,Drive,interval
79.146,80.147,Under,interval
80.881,81.348,Under,interval
81.949,82.449,Under,interval
82.983,83.483,Under,interval
84.084,84.718,Under,interval
85.285,85.886,Under,interval
86.486,87.054,Under,interval
87.654,88.155,Under,interval
88.689,89.156,Under,interval
89.69,90.223,Under,interval
