t_label_or_start,class,t_peak,used_joint
12.327,Clear,12.793,wrist
13.693,Clear,14.326,wrist
15.06,Clear,15.726,wrist
16.426,Clear,17.126,wrist
17.859,Clear,18.526,wrist
19.292,Clear,19.926,wrist
20.792,Clear,21.392,wrist
22.225,Clear,22.825,wrist
23.725,Clear,24.258,wrist
25.125,Clear,25.691,wrist
34.023,Drop,34.757,wrist
35.656,Drop,35.723,wrist
37.256,Drop,37.589,wrist
38.756,Drop,38.789,wrist
40.389,Drop,40.722,wrist
41.655,Drop,42.289,wrist
43.255,Drop,43.822,wrist
44.688,Drop,45.321,wrist
46.421,Drop,46.688,wrist
47.954,Drop,48.654,wrist
49.321,Hairpin,49.687,wrist
55.953,Hairpin,56.153,elbow
57.086,Hairpin,57.453,elbow
58.219,Hairpin,58.719,elbow
59.486,Hairpin,59.919,wrist
60.619,Hairpin,61.119,wrist
61.819,Hairpin,62.385,wrist
63.119,Hairpin,63.619,wrist
64.452,Hairpin,64.885,wrist
65.618,Hairpin,66.051,wrist
90.348,Drive,90.647,wrist
91.447,Drive,91.714,wrist
92.714,Drive,92.947,wrist
93.68,Drive,93.814,wrist
94.814,Drive,95.18,wrist
95.913,Drive,96.313,wrist
97.013,Drive,97.48,wrist
98.28,Drive,98.446,wrist
98.946,Drive,99.379,wrist
100.079,Drive,100.379,wrist
107.978,Under,108.311,wrist
109.278,Under,109.811,wrist
111.144,Under,111.511,wrist
112.477,Under,112.977,wrist
114.077,Under,114.51,wrist
115.543,Under,116.21,wrist
117.177,Under,117.776,wrist
118.676,Under,119.176,wrist
120.276,Under,120.643,wrist
122.142,Under,122.676,wrist
