start_sec,end_sec,class,note
8.983,9.883,Clear,interval
10.65,11.583,Clear,interval
12.25,12.983,Clear,interval
13.649,14.349,Clear,interval
15.016,15.682,Clear,interval
16.416,17.149,Clear,interval
17.782,18.449,Clear,interval
19.148,20.015,Clear,interval
20.715,21.481,Clear,interval
22.248,22.981,Clear,interval
32.513,33.413,Drop,interval
34.179,35.279,Drop,interval
36.012,36.979,Drop,interval
37.812,38.712,Drop,interval
39.412,40.278,Drop,interval
40.912,41.678,Drop,interval
42.311,43.145,Drop,interval
43.844,44.678,Drop,interval
45.378,46.277,Drop,interval
47.011,47.81,Drop,interval
52.076,53.11,Hairpin,interval
53.776,54.243,Hairpin,interval
54.709,55.343,Hairpin,interval
55.876,56.442,Hairpin,interval
56.976,57.542,Hairpin,interval
58.042,58.642,Hairpin,interval
59.209,59.675,Hairpin,interval
60.175,60.708,Hairpin,interval
61.242,61.775,Hairpin,interval
62.341,62.775,Hairpin,interval
66.807,68.207,Drive,interval
68.64,68.874,Drive,interval
69.007,69.34,Drive,interval
69.707,70.407,Drive,interval
70.807,71.173,Drive,interval
71.607,71.907,Drive,interval
72.241,72.506,Drive,interval
72.906,73.373,Drive,interval
73.74,74.073,Drive,interval
74.439,74.739,Drive,interval
79.805,80.439,Under,interval
81.072,81.772,Under,interval
82.472,83.138,Under,interval
83.805,84.405,Under,interval
85.071,85.638,Under,interval
86.338,86.971,Under,interval
87.637,88.371,Under,interval
89.004,89.737,Under,interval
90.37,91.07,Under,interval
91.637,92.303,Under,interval
