start_sec,end_sec,class,note
4.533,5.066,Clear,interval
5.832,6.866,Clear,interval
7.765,8.699,Clear,interval
9.632,10.732,Clear,interval
11.531,12.698,Clear,interval
13.598,14.531,Clear,interval
15.464,16.531,Clear,interval
17.397,18.43,Clear,interval
19.33,20.33,Clear,interval
21.263,22.33,Clear,interval
25.363,26.329,Drop,interval
27.362,28.495,Drop,interval
29.595,30.762,Drop,interval
31.628,32.895,Drop,interval
33.795,34.994,Drop,interval
35.794,36.994,Drop,interval
38.094,39.127,Drop,interval
40.127,41.293,Drop,interval
42.293,43.426,Drop,interval
44.426,45.426,Drop,interval
47.592,48.292,Hairpin,interval
48.925,49.759,Hairpin,interval
50.559,51.258,Hairpin,interval
51.958,52.625,Hairpin,interval
53.358,54.025,Hairpin,interval
54.725,55.458,Hairpin,interval
56.258,57.024,Hairpin,interval
57.724,58.424,Hairpin,interval
59.09,59.824,Hairpin,interval
60.39,61.223,Hairpin,interval
66.923,67.456,Drive,interval
68.056,68.756,Drive,interval
69.222,70.022,Drive,interval
70.689,71.355,Drive,interval
72.022,72.555,Drive,interval
73.222,73.855,Drive,interval
74.588,75.121,Drive,interval
75.754,76.521,Drive,interval
77.121,77.787,Drive,interval
78.421,79.321,Drive,interval
86.019,86.519,Under,interval
87.353,88.152,Under,interval
88.952,89.786,Under,interval
90.619,91.452,Under,interval
92.285,93.052,Under,interval
93.885,94.718,Under,interval
95.651,96.551,Under,interval
97.651,98.417,Under,interval
99.451,100.217,Under,interval
101.217,102.15,Under,interval
