start_sec,end_sec,class,note
3.702,4.369,Clear,interval
5.502,6.535,Clear,interval
12.034,12.934,Clear,interval
17.167,18.2,Clear,interval
19.2,20.266,Clear,interval
21.199,22.299,Clear,interval
23.166,24.299,Clear,interval
42.129,42.896,Drop,interval
44.096,44.863,Drop,interval
46.295,46.962,Drop,interval
48.395,49.128,Drop,interval
50.461,51.328,Drop,interval
52.794,53.427,Drop,interval
54.727,55.46,Drop,interval
56.794,57.46,Drop,interval
58.793,59.46,Drop,interval
60.793,61.559,Drop,interval
66.792,67.758,Hairpin,interval
70.325,70.725,Hairpin,interval
73.124,73.891,Hairpin,interval
75.857,76.49,Hairpin,interval
77.957,78.49,Hairpin,interval
79.557,80.256,Hairpin,interval
81.256,82.023,Hairpin,interval
83.056,83.789,Hairpin,interval
84.689,85.489,Hairpin,interval
86.389,87.255,Hairpin,interval
96.954,97.387,Drive,interval
98.254,98.887,Drive,interval
99.653,100.12,Drive,interval
100.986,101.453,Drive,interval
102.32,102.853,Drive,interval
103.619,104.219,Drive,interval
105.152,105.686,Drive,interval
106.586,107.052,Drive,interval
107.885,108.385,Drive,interval
109.318,109.718,Drive,interval
114.218,114.718,Under,interval
115.584,116.551,Under,interval
117.55,118.384,Under,interval
119.283,120.117,Under,interval
121.083,121.85,Under,interval
122.916,123.616,Under,interval
124.583,125.416,Under,interval
126.349,127.149,Under,interval
128.115,128.982,Under,interval
129.882,130.715,Under,interval
