start_sec,end_sec,class,note
5.172,5.806,Clear,interval
6.84,7.741,Clear,interval
8.775,9.71,Clear,interval
10.677,11.645,Clear,interval
12.746,13.747,Clear,interval
18.118,18.986,Clear,interval
19.987,20.921,Clear,interval
21.822,22.789,Clear,interval
23.59,24.658,Clear,interval
25.425,26.56,Clear,interval
43.243,43.544,Drop,interval
44.711,45.846,Drop,interval
46.747,47.848,Drop,interval
48.849,50.017,Drop,interval
50.918,51.985,Drop,interval
52.92,53.987,Drop,interval
54.955,56.089,Drop,interval
56.924,58.058,Drop,interval
59.026,60.06,Drop,interval
61.028,62.462,Drop,interval
67.634,69.236,Hairpin,interval
69.97,71.004,Hairpin,interval
71.705,72.606,Hairpin,interval
73.473,74.207,Hairpin,interval
75.108,76.009,Hairpin,interval
76.977,77.778,Hairpin,interval
78.712,79.513,Hairpin,interval
80.48,81.381,Hairpin,interval
82.349,83.15,Hairpin,interval
84.151,85.052,Hairpin,interval
92.225,92.826,Drive,interval
94.795,95.362,Drive,interval
96.096,96.797,Drive,interval
97.497,98.231,Drive,interval
98.966,99.866,Drive,interval
100.534,101.234,Drive,interval
102.002,102.869,Drive,interval
103.537,104.471,Drive,interval
105.138,106.006,Drive,interval
113.68,114.348,Under,interval
115.282,115.983,Under,interval
116.883,117.551,Under,interval
118.385,119.186,Under,interval
120.053,120.821,Under,interval
121.755,122.389,Under,interval
123.39,124.057,Under,interval
124.925,125.726,Under,interval
126.626,127.427,Under,interval
128.261,129.029,Under,interval
