t_label_or_start,class,t_peak,used_joint
8.942,Clear,9.51,wrist
10.41,Clear,11.044,wrist
12.012,Clear,12.546,wrist
13.48,Clear,13.881,wrist
14.815,Clear,15.182,wrist
16.016,Clear,16.483,wrist
17.284,Clear,17.651,wrist
18.485,Clear,19.019,wrist
19.887,Clear,20.354,wrist
21.321,Clear,21.755,wrist
30.831,Drop,31.265,wrist
32.733,Drop,33.133,wrist
34.401,Drop,34.768,wrist
36.003,Drop,36.27,wrist
37.504,Drop,37.905,wrist
39.006,Drop,39.306,wrist
40.641,Drop,40.774,wrist
41.975,Drop,42.242,wrist
43.443,Drop,43.677,wrist
47.014,Drop,47.114,wrist
52.419,Hairpin,52.486,wrist
53.654,Hairpin,53.754,wrist
54.888,Hairpin,54.988,wrist
56.023,Hairpin,56.156,wrist
57.124,Hairpin,57.224,wrist
58.191,Hairpin,58.258,wrist
59.192,Hairpin,59.293,wrist
60.193,Hairpin,60.327,wrist
61.261,Hairpin,61.361,wrist
62.296,Hairpin,62.362,wrist
66.066,Drive,66.233,wrist
66.934,Drive,67.2,wrist
67.901,Drive,68.068,wrist
68.702,Drive,68.835,wrist
69.436,Drive,69.57,wrist
70.17,Drive,70.337,wrist
70.904,Drive,71.038,wrist
71.572,Drive,71.705,wrist
72.205,Drive,72.372,wrist
72.873,Drive,72.973,wrist
79.146,Under,79.846,wrist
80.881,Under,81.014,wrist
81.949,Under,82.082,wrist
82.983,Under,83.15,wrist
84.084,Under,84.518,wrist
85.285,Under,85.586,wrist
86.486,Under,86.687,wrist
87.654,Under,87.754,wrist
88.689,Under,88.889,wrist
89.69,Under,90.023,wrist
