start_sec,end_sec,class,note
16.583,17.351,Clear,interval
18.085,18.886,Clear,interval
19.653,20.487,Clear,interval
21.221,21.989,Clear,interval
22.723,23.524,Clear,interval
24.291,25.058,Clear,interval
25.893,26.66,Clear,interval
27.394,28.328,Clear,interval
29.096,29.796,Clear,interval
30.564,31.365,Clear,interval
38.505,39.139,Drop,interval
39.973,40.607,Drop,interval
41.475,42.109,Drop,interval
42.91,43.41,Drop,interval
44.244,44.878,Drop,interval
45.779,46.413,Drop,interval
47.147,47.814,Drop,interval
48.482,49.116,Drop,interval
49.95,50.584,Drop,interval
53.487,54.054,Drop,interval
54.655,55.689,Hairpin,interval
56.423,56.957,Hairpin,interval
57.524,58.325,Hairpin,interval
59.026,59.793,Hairpin,interval
60.494,61.094,Hairpin,interval
61.795,62.396,Hairpin,interval
63.096,63.764,Hairpin,interval
64.464,65.265,Hairpin,interval
65.999,66.633,Hairpin,interval
67.334,68.035,Hairpin,interval
73.34,73.774,Drive,interval
74.274,74.808,Drive,interval
75.342,75.809,Drive,interval
76.343,76.743,Drive,interval
77.21,77.678,Drive,interval
78.178,78.712,Drive,interval
79.212,79.68,Drive,interval
80.213,80.747,Drive,interval
81.214,81.548,Drive,interval
82.049,82.449,Drive,interval
85.385,85.919,Under,interval
86.653,87.387,Under,interval
88.055,88.789,Under,interval
89.456,90.257,Under,interval
91.024,91.758,Under,interval
92.459,93.293,Under,interval
94.094,94.795,Under,interval
95.529,96.296,Under,interval
97.064,97.831,Under,interval
98.632,99.299,Under,interval
