t_label_or_start,class,t_peak,used_joint
0.837,Clear,1.004,wrist
1.637,Clear,2.304,wrist
2.97,Clear,3.47,wrist
4.137,Clear,4.603,wrist
5.236,Clear,5.736,wrist
6.303,Clear,6.903,wrist
7.503,Clear,8.036,wrist
8.636,Clear,9.169,wrist
9.836,Clear,10.302,wrist
11.302,Clear,11.369,wrist
11.902,Drop,13.135,wrist
14.168,Drop,14.602,wrist
15.701,Drop,16.001,wrist
17.201,Drop,17.434,wrist
18.434,Drop,19.134,wrist
19.934,Drop,20.167,wrist
21.434,Drop,21.467,wrist
22.6,Drop,22.667,wrist
23.933,Drop,23.933,wrist
25.033,Drop,25.133,wrist
28.066,Hairpin,28.133,wrist
28.699,Hairpin,28.833,wrist
29.399,Hairpin,29.599,wrist
30.232,Hairpin,30.466,wrist
31.166,Hairpin,31.366,wrist
32.132,Hairpin,32.299,elbow
33.032,Hairpin,33.099,elbow
33.599,Hairpin,33.998,wrist
34.632,Hairpin,34.698,wrist
35.432,Hairpin,35.632,wrist
37.098,Drive,37.165,wrist
37.698,Drive,37.731,wrist
38.398,Drive,38.964,wrist
39.364,Drive,39.664,wrist
40.164,Drive,40.531,wrist
40.964,Drive,41.297,wrist
41.764,Drive,42.064,wrist
42.597,Drive,42.797,wrist
43.197,Drive,43.497,wrist
43.963,Drive,44.163,wrist
45.53,Under,45.763,wrist
46.796,Under,47.23,wrist
48.196,Under,48.663,wrist
49.629,Under,49.996,wrist
50.896,Under,51.262,wrist
52.195,Under,52.629,wrist
53.562,Under,53.929,wrist
54.795,Under,55.295,wrist
56.228,Under,56.595,wrist
57.461,Under,57.861,wrist
