t_label_or_start,class,t_peak,used_joint
0.467,Clear,0.934,wrist
1.802,Clear,2.236,wrist
3.237,Clear,3.47,wrist
4.371,Clear,4.771,wrist
5.372,Clear,5.839,wrist
6.673,Clear,7.207,wrist
7.908,Clear,8.275,wrist
9.076,Clear,9.309,wrist
10.01,Clear,10.41,wrist
11.144,Clear,11.645,wrist
14.214,Drop,14.514,wrist
15.549,Drop,15.916,wrist
16.95,Drop,17.451,wrist
18.418,Drop,18.819,wrist
19.82,Drop,20.22,wrist
21.221,Drop,21.521,wrist
22.523,Drop,22.789,wrist
23.757,Drop,24.091,wrist
25.158,Drop,25.325,wrist
26.293,Drop,26.66,wrist
28.395,Hairpin,28.962,wrist
29.93,Hairpin,30.03,wrist
30.898,Hairpin,31.098,wrist
31.865,Hairpin,32.065,wrist
32.766,Hairpin,33.066,wrist
33.901,Hairpin,34.034,wrist
34.868,Hairpin,35.068,wrist
35.836,Hairpin,36.069,wrist
36.837,Hairpin,37.07,wrist
37.838,Hairpin,38.105,wrist
39.373,Drive,40.807,wrist
41.441,Drive,41.875,wrist
42.409,Drive,42.743,wrist
43.41,Drive,43.744,wrist
44.344,Drive,44.711,wrist
45.379,Drive,45.646,wrist
46.28,Drive,46.58,wrist
47.214,Drive,47.481,wrist
48.081,Drive,48.348,wrist
48.982,Drive,49.316,wrist
50.651,Under,51.051,wrist
51.919,Under,52.252,wrist
53.287,Under,53.453,wrist
54.421,Under,54.588,wrist
55.589,Under,55.789,wrist
56.757,Under,57.057,wrist
57.991,Under,58.191,wrist
59.226,Under,59.359,wrist
60.26,Under,60.36,wrist
61.295,Under,61.662,wrist
