t_label_or_start,class,t_peak,used_joint
5.606,Clear,6.206,wrist
7.441,Clear,8.108,wrist
9.476,Clear,9.843,wrist
11.311,Clear,11.912,wrist
13.213,Clear,13.614,wrist
15.015,Clear,15.616,wrist
16.85,Clear,17.184,wrist
18.619,Clear,19.052,wrist
20.454,Clear,20.921,wrist
23.357,Clear,23.524,wrist
24.258,Drop,24.791,wrist
26.059,Drop,26.693,wrist
28.262,Drop,28.729,wrist
30.197,Drop,30.764,wrist
32.099,Drop,32.633,wrist
34.034,Drop,34.601,wrist
36.069,Drop,36.57,wrist
37.971,Drop,38.505,wrist
39.873,Drop,40.374,wrist
41.775,Drop,42.209,wrist
46.747,Hairpin,47.047,wrist
48.081,Hairpin,48.382,wrist
49.616,Hairpin,49.783,wrist
50.817,Hairpin,51.118,wrist
52.286,Hairpin,52.519,wrist
53.62,Hairpin,53.854,wrist
54.855,Hairpin,55.188,wrist
56.189,Hairpin,56.423,wrist
57.491,Hairpin,57.624,wrist
58.625,Hairpin,58.859,wrist
60.994,Drive,61.194,wrist
61.862,Drive,62.162,wrist
62.963,Drive,63.163,wrist
63.864,Drive,64.298,wrist
64.998,Drive,65.332,wrist
66.066,Drive,66.366,wrist
67.2,Drive,67.434,wrist
68.235,Drive,68.502,wrist
69.303,Drive,69.57,wrist
70.27,Drive,70.604,wrist
72.839,Under,73.14,wrist
74.107,Under,74.441,wrist
75.442,Under,75.776,wrist
76.843,Under,77.177,wrist
78.178,Under,78.478,wrist
79.479,Under,79.913,wrist
80.914,Under,81.415,wrist
82.516,Under,82.783,wrist
83.85,Under,84.184,wrist
85.252,Under,85.552,wrist
