start_sec,end_sec,class,note
2.97,3.737,Clear,interval
4.638,5.606,Clear,interval
6.306,7.307,Clear,interval
8.175,9.243,Clear,interval
10.043,11.078,Clear,interval
11.979,13.046,Clear,interval
13.914,14.948,Clear,interval
15.782,16.85,Clear,interval
17.718,18.685,Clear,interval
19.653,20.654,Clear,interval
24.191,25.158,Drop,interval
26.159,27.194,Drop,interval
28.161,29.463,Drop,interval
30.33,31.465,Drop,interval
32.266,33.433,Drop,interval
34.401,35.435,Drop,interval
36.47,37.671,Drop,interval
38.572,39.706,Drop,interval
40.807,41.608,Drop,interval
42.643,43.81,Drop,interval
46.813,47.547,Hairpin,interval
48.448,49.249,Hairpin,interval
50.183,51.018,Hairpin,interval
51.952,52.853,Hairpin,interval
53.787,54.488,Hairpin,interval
55.556,56.39,Hairpin,interval
57.257,58.425,Hairpin,interval
59.326,60.294,Hairpin,interval
61.161,62.129,Hairpin,interval
63.03,64.097,Hairpin,interval
66.767,67.334,Drive,interval
68.101,69.036,Drive,interval
69.803,70.637,Drive,interval
71.505,72.339,Drive,interval
73.106,74.041,Drive,interval
74.841,75.742,Drive,interval
76.677,77.444,Drive,interval
78.378,79.279,Drive,interval
80.213,81.148,Drive,interval
82.015,82.883,Drive,interval
85.218,85.852,Under,interval
86.954,87.721,Under,interval
88.655,89.523,Under,interval
90.657,91.458,Under,interval
92.459,93.26,Under,interval
94.361,95.228,Under,interval
96.43,97.197,Under,interval
98.065,98.932,Under,interval
100.067,100.801,Under,interval
102.002,102.769,Under,interval
