t_label_or_start,class,t_peak,used_joint
8.842,Clear,9.51,wrist
10.477,Clear,11.044,wrist
12.012,Clear,12.546,wrist
13.347,Clear,13.881,wrist
14.681,Clear,15.182,wrist
16.083,Clear,16.483,wrist
17.251,Clear,17.651,wrist
18.585,Clear,19.019,wrist
19.92,Clear,20.354,wrist
21.288,Clear,21.755,wrist
28.428,Drop,28.929,wrist
30.697,Drop,31.265,wrist
32.499,Drop,33.133,wrist
34.434,Drop,34.768,wrist
35.869,Drop,36.27,wrist
37.571,Drop,37.905,wrist
39.072,Drop,39.306,wrist
40.507,Drop,40.774,wrist
41.909,Drop,42.242,wrist
43.343,Drop,43.677,wrist
52.352,Hairpin,52.486,wrist
53.654,Hairpin,53.754,wrist
54.855,Hairpin,54.988,wrist
56.089,Hairpin,56.156,wrist
57.124,Hairpin,57.224,wrist
58.125,Hairpin,58.258,wrist
59.159,Hairpin,59.293,wrist
60.127,Hairpin,60.327,wrist
61.161,Hairpin,61.361,wrist
62.229,Hairpin,62.362,wrist
66.066,Drive,66.233,wrist
66.967,Drive,67.2,wrist
67.901,Drive,68.068,wrist
68.635,Drive,68.835,wrist
69.369,Drive,69.57,wrist
70.103,Drive,70.337,wrist
70.837,Drive,71.038,wrist
71.505,Drive,71.705,wrist
72.172,Drive,72.372,wrist
72.806,Drive,72.973,wrist
79.146,Under,79.846,wrist
80.948,Under,81.014,wrist
81.848,Under,82.082,wrist
82.95,Under,83.15,wrist
84.084,Under,84.518,wrist
85.385,Under,85.586,wrist
86.453,Under,86.687,wrist
87.588,Under,87.754,wrist
88.555,Under,88.889,wrist
89.756,Under,90.023,wrist
