start_sec,end_sec,class,note
2.89,3.723,Clear,interval
4.489,5.223,Clear,interval
6.022,6.822,Clear,interval
7.589,8.522,Clear,interval
9.322,10.255,Clear,interval
11.022,11.855,Clear,interval
12.588,13.421,Clear,interval
14.288,15.054,Clear,interval
16.021,16.821,Clear,interval
17.687,18.42,Clear,interval
23.386,24.886,Drop,interval
25.686,26.553,Drop,interval
27.452,28.319,Drop,interval
29.119,29.952,Drop,interval
30.519,31.318,Drop,interval
31.852,32.585,Drop,interval
33.151,33.985,Drop,interval
34.618,35.418,Drop,interval
35.984,36.751,Drop,interval
37.351,38.417,Drop,interval
39.85,40.45,Hairpin,interval
41.084,41.717,Hairpin,interval
42.35,43.117,Hairpin,interval
43.883,44.516,Hairpin,interval
45.183,45.883,Hairpin,interval
46.383,47.149,Hairpin,interval
47.749,48.549,Hairpin,interval
49.116,49.915,Hairpin,interval
50.582,51.282,Hairpin,interval
51.815,52.715,Hairpin,interval
60.347,60.847,Drive,interval
61.28,61.78,Drive,interval
62.28,62.78,Drive,interval
63.213,63.78,Drive,interval
64.246,64.68,Drive,interval
65.113,65.58,Drive,interval
66.113,66.579,Drive,interval
67.046,67.546,Drive,interval
68.046,68.546,Drive,interval
71.445,71.579,Drive,interval
72.045,72.412,Under,interval
73.012,73.812,Under,interval
74.578,75.245,Under,interval
75.911,76.711,Under,interval
77.378,78.144,Under,interval
78.777,79.577,Under,interval
80.244,80.944,Under,interval
81.61,82.377,Under,interval
82.943,83.91,Under,interval
84.443,85.276,Under,interval
