start_sec,end_sec,class,note
4.166,5.066,Clear,interval
5.866,6.899,Clear,interval
9.665,10.665,Clear,interval
11.565,12.698,Clear,interval
13.631,14.631,Clear,interval
15.464,16.497,Clear,interval
17.397,18.33,Clear,interval
19.297,20.33,Clear,interval
21.23,22.296,Clear,interval
24.063,24.196,Clear,interval
25.329,26.062,Drop,interval
27.362,28.162,Drop,interval
29.429,30.362,Drop,interval
31.528,32.395,Drop,interval
33.495,34.494,Drop,interval
35.694,36.627,Drop,interval
37.861,38.694,Drop,interval
40.027,40.76,Drop,interval
42.093,42.96,Drop,interval
44.293,44.926,Drop,interval
47.592,48.259,Hairpin,interval
48.892,49.692,Hairpin,interval
50.525,51.092,Hairpin,interval
51.892,52.625,Hairpin,interval
53.358,53.958,Hairpin,interval
54.758,55.358,Hairpin,interval
56.224,56.924,Hairpin,interval
57.691,58.391,Hairpin,interval
59.057,59.69,Hairpin,interval
60.457,61.123,Hairpin,interval
67.023,67.322,Drive,interval
68.122,68.556,Drive,interval
69.355,69.822,Drive,interval
70.789,71.189,Drive,interval
72.055,72.422,Drive,interval
73.255,73.688,Drive,interval
74.621,74.988,Drive,interval
75.788,76.254,Drive,interval
77.088,77.654,Drive,interval
78.521,79.054,Drive,interval
85.453,86.486,Under,interval
87.319,87.986,Under,interval
88.986,89.752,Under,interval
90.785,91.419,Under,interval
92.318,93.052,Under,interval
94.051,94.718,Under,interval
95.918,96.518,Under,interval
97.684,98.417,Under,interval
99.651,100.35,Under,interval
