start_sec,end_sec,class,note
16.717,17.417,Clear,interval
18.051,18.919,Clear,interval
19.686,20.487,Clear,interval
21.221,22.055,Clear,interval
22.789,23.524,Clear,interval
24.324,25.058,Clear,interval
25.859,26.627,Clear,interval
27.394,28.228,Clear,interval
29.029,29.73,Clear,interval
30.497,31.331,Clear,interval
36.77,37.671,Drop,interval
38.405,39.306,Drop,interval
40.04,40.807,Drop,interval
41.508,42.242,Drop,interval
42.976,43.61,Drop,interval
44.278,45.045,Drop,interval
45.812,46.513,Drop,interval
47.247,47.981,Drop,interval
48.615,49.316,Drop,interval
49.95,50.884,Drop,interval
54.688,55.622,Hairpin,interval
56.189,56.99,Hairpin,interval
57.624,58.358,Hairpin,interval
59.059,59.826,Hairpin,interval
60.494,61.128,Hairpin,interval
61.795,62.462,Hairpin,interval
63.163,63.83,Hairpin,interval
64.565,65.265,Hairpin,interval
65.899,66.7,Hairpin,interval
67.367,68.035,Hairpin,interval
73.574,74.241,Drive,interval
74.541,74.808,Drive,interval
75.275,75.776,Drive,interval
76.31,76.743,Drive,interval
77.277,77.678,Drive,interval
78.211,78.679,Drive,interval
79.279,79.68,Drive,interval
80.247,80.681,Drive,interval
81.181,81.582,Drive,interval
82.082,82.416,Drive,interval
85.218,85.919,Under,interval
86.653,87.321,Under,interval
88.088,88.755,Under,interval
89.623,90.257,Under,interval
90.991,91.692,Under,interval
92.526,93.226,Under,interval
93.994,94.695,Under,interval
95.495,96.229,Under,interval
97.164,97.898,Under,interval
98.699,99.299,Under,interval
100.3,100.767,Under,interval
