t_label_or_start,class,t_peak,used_joint
16.717,Clear,17.184,wrist
18.051,Clear,18.652,wrist
19.686,Clear,20.22,wrist
21.221,Clear,21.755,wrist
22.789,Clear,23.29,wrist
24.324,Clear,24.825,wrist
25.859,Clear,26.426,wrist
27.394,Clear,27.995,wrist
29.029,Clear,29.53,wrist
30.497,Clear,31.098,wrist
36.77,Drop,37.204,wrist
38.405,Drop,38.739,wrist
40.04,Drop,40.34,wrist
41.508,Drop,41.808,wrist
42.976,Drop,43.11,wrist
44.278,Drop,44.645,wrist
45.812,Drop,45.812,wrist
47.247,Drop,47.614,wrist
48.615,Drop,49.082,wrist
49.95,Drop,50.317,wrist
54.688,Hairpin,55.322,wrist
56.189,Hairpin,56.69,elbow
57.624,Hairpin,58.091,elbow
59.059,Hairpin,59.459,wrist
60.494,Hairpin,60.794,wrist
61.795,Hairpin,62.129,wrist
63.163,Hairpin,63.53,elbow
64.565,Hairpin,64.932,elbow
65.899,Hairpin,66.333,wrist
67.367,Hairpin,67.734,elbow
73.574,Drive,73.64,wrist
74.541,Drive,74.641,wrist
75.275,Drive,75.642,wrist
76.31,Drive,76.577,wrist
77.277,Drive,77.544,wrist
78.211,Drive,78.545,wrist
79.279,Drive,79.546,wrist
80.247,Drive,80.547,wrist
81.181,Drive,81.381,wrist
82.082,Drive,82.382,wrist
85.218,Under,85.619,wrist
86.653,Under,87.02,wrist
88.088,Under,88.422,wrist
89.623,Under,90.123,wrist
90.991,Under,91.391,wrist
92.526,Under,92.893,wrist
93.994,Under,94.394,wrist
95.495,Under,96.063,wrist
97.164,Under,97.431,wrist
98.699,Under,98.932,wrist
100.3,Under,100.634,wrist
