t_label_or_start,class,t_peak,used_joint
4.166,Clear,4.866,wrist
5.866,Clear,6.699,wrist
9.665,Clear,10.465,wrist
11.565,Clear,12.465,wrist
13.631,Clear,14.398,wrist
15.464,Clear,16.264,wrist
17.397,Clear,18.097,wrist
19.297,Clear,20.063,wrist
21.23,Clear,22.096,wrist
24.063,Clear,24.096,wrist
25.329,Drop,25.829,wrist
27.362,Drop,27.962,wrist
29.429,Drop,30.362,wrist
31.528,Drop,31.762,wrist
33.495,Drop,34.261,wrist
35.694,Drop,36.394,wrist
37.861,Drop,38.527,wrist
40.027,Drop,40.56,wrist
42.093,Drop,42.66,wrist
44.293,Drop,44.659,wrist
47.592,Hairpin,47.926,wrist
48.892,Hairpin,49.325,wrist
50.525,Hairpin,50.792,wrist
51.892,Hairpin,52.325,wrist
53.358,Hairpin,53.625,wrist
54.758,Hairpin,55.124,wrist
56.224,Hairpin,56.624,wrist
57.691,Hairpin,58.091,wrist
59.057,Hairpin,59.357,wrist
60.457,Hairpin,60.824,wrist
67.023,Drive,67.223,wrist
68.122,Drive,68.456,wrist
69.355,Drive,69.722,wrist
70.789,Drive,71.089,wrist
72.055,Drive,72.355,wrist
73.255,Drive,73.621,wrist
74.621,Drive,74.921,wrist
75.788,Drive,76.188,wrist
77.088,Drive,77.521,wrist
78.521,Drive,78.921,wrist
85.453,Under,86.219,wrist
87.319,Under,87.719,wrist
88.986,Under,89.319,wrist
90.785,Under,91.019,wrist
92.318,Under,92.818,wrist
94.051,Under,94.518,wrist
95.918,Under,96.284,wrist
97.684,Under,98.118,wrist
99.651,Under,99.851,wrist
