t_label_or_start,class,t_peak,used_joint
0.733,Clear,1.266,wrist
2.433,Clear,3.033,wrist
4.233,Clear,4.866,wrist
6.066,Clear,6.732,wrist
8.032,Clear,8.599,wrist
9.932,Clear,10.465,wrist
11.798,Clear,12.331,wrist
13.664,Clear,14.131,wrist
15.464,Clear,15.964,wrist
17.264,Clear,17.997,wrist
19.364,Drop,20.097,wrist
21.297,Drop,21.996,wrist
23.196,Drop,23.896,wrist
25.129,Drop,25.763,wrist
26.962,Drop,27.696,wrist
28.795,Drop,29.529,wrist
30.895,Drop,31.562,wrist
32.861,Drop,33.595,wrist
34.661,Drop,35.361,wrist
36.627,Drop,37.361,wrist
41.927,Hairpin,42.36,wrist
43.36,Hairpin,43.793,wrist
44.826,Hairpin,45.193,wrist
46.293,Hairpin,46.626,wrist
47.726,Hairpin,48.192,wrist
49.192,Hairpin,49.592,wrist
50.658,Hairpin,51.025,wrist
52.158,Hairpin,52.392,wrist
53.358,Hairpin,53.725,wrist
54.791,Hairpin,55.091,wrist
56.758,Drive,56.991,wrist
57.691,Drive,58.057,wrist
58.891,Drive,59.124,wrist
60.024,Drive,60.224,wrist
60.99,Drive,61.223,wrist
62.023,Drive,62.323,wrist
63.156,Drive,63.423,wrist
64.223,Drive,64.49,wrist
65.256,Drive,65.623,wrist
66.356,Drive,66.756,wrist
69.255,Under,69.622,wrist
70.689,Under,71.122,wrist
72.055,Under,72.555,wrist
73.621,Under,73.921,wrist
75.021,Under,75.288,wrist
76.321,Under,76.654,wrist
77.587,Under,78.054,wrist
78.987,Under,79.387,wrist
80.32,Under,80.754,wrist
