t_label_or_start,class,t_peak,used_joint
33.433,Clear,33.901,wrist
34.935,Clear,35.702,wrist
37.07,Clear,37.571,wrist
38.839,Clear,39.373,wrist
40.641,Clear,40.974,wrist
42.376,Clear,42.976,wrist
44.311,Clear,44.745,wrist
46.146,Clear,46.547,wrist
47.948,Clear,48.348,wrist
49.75,Clear,50.217,wrist
56.69,Drop,56.89,wrist
58.458,Drop,58.725,wrist
60.127,Drop,60.561,wrist
61.895,Drop,62.296,wrist
63.697,Drop,64.197,wrist
65.632,Drop,66.099,wrist
67.2,Drop,67.701,wrist
68.702,Drop,69.036,wrist
70.003,Drop,70.571,wrist
71.572,Drop,72.139,wrist
76.109,Hairpin,77.044,elbow
78.011,Hairpin,78.478,elbow
79.613,Hairpin,79.947,elbow
80.981,Hairpin,81.214,elbow
82.249,Hairpin,82.716,elbow
83.717,Hairpin,84.151,elbow
85.085,Hairpin,85.452,elbow
86.42,Hairpin,86.753,elbow
87.754,Hairpin,88.155,elbow
89.089,Hairpin,89.523,elbow
113.046,Drive,113.246,wrist
113.747,Drive,114.114,wrist
114.681,Drive,115.182,wrist
115.782,Drive,116.216,wrist
116.75,Drive,117.25,wrist
117.784,Drive,118.251,wrist
118.819,Drive,119.319,wrist
119.886,Drive,120.354,wrist
120.887,Drive,121.455,wrist
122.055,Drive,122.489,wrist
128.328,Under,128.495,wrist
129.863,Under,130.03,wrist
131.331,Under,131.565,wrist
132.966,Under,133.3,wrist
134.501,Under,134.835,wrist
136.036,Under,136.403,wrist
137.571,Under,137.938,wrist
139.239,Under,139.473,wrist
140.674,Under,140.907,wrist
142.342,Under,142.542,wrist
