t_label_or_start,class,t_peak,used_joint
2.823,Clear,3.523,wrist
4.489,Clear,5.023,wrist
6.156,Clear,6.622,wrist
7.756,Clear,8.322,wrist
9.389,Clear,10.022,wrist
10.988,Clear,11.622,wrist
12.721,Clear,13.221,wrist
14.321,Clear,14.721,wrist
15.954,Clear,16.554,wrist
17.687,Clear,18.254,wrist
23.353,Drop,24.586,wrist
25.553,Drop,26.086,wrist
27.052,Drop,27.786,wrist
28.852,Drop,29.419,wrist
30.319,Drop,30.852,wrist
31.718,Drop,32.185,wrist
33.018,Drop,33.585,wrist
34.285,Drop,35.151,wrist
35.818,Drop,36.384,wrist
37.251,Drop,37.784,wrist
39.75,Hairpin,40.084,elbow
40.85,Hairpin,41.35,elbow
42.25,Hairpin,42.783,elbow
43.65,Hairpin,44.083,elbow
45.083,Hairpin,45.483,elbow
46.383,Hairpin,46.849,elbow
47.749,Hairpin,48.182,elbow
49.116,Hairpin,49.449,elbow
50.382,Hairpin,50.815,elbow
51.782,Hairpin,52.215,elbow
60.347,Drive,60.614,wrist
61.214,Drive,61.647,wrist
62.28,Drive,62.647,wrist
63.28,Drive,63.647,wrist
64.28,Drive,64.58,wrist
65.213,Drive,65.546,wrist
66.146,Drive,66.513,wrist
67.113,Drive,67.513,wrist
68.146,Drive,68.412,wrist
71.179,Drive,71.212,wrist
71.945,Under,72.212,wrist
73.178,Under,73.545,wrist
74.545,Under,74.945,wrist
76.011,Under,76.344,wrist
77.411,Under,77.744,wrist
78.777,Under,79.177,wrist
80.211,Under,80.577,wrist
81.577,Under,82.01,wrist
82.977,Under,83.443,wrist
84.377,Under,84.91,wrist
