t_label_or_start,class,t_peak,used_joint
5.072,Clear,5.639,wrist
6.94,Clear,7.441,wrist
8.876,Clear,9.343,wrist
10.711,Clear,11.278,wrist
12.846,Clear,13.313,wrist
18.218,Clear,18.752,wrist
19.853,Clear,20.587,wrist
21.788,Clear,22.422,wrist
23.59,Clear,24.324,wrist
25.559,Clear,26.226,wrist
42.809,Drop,43.243,wrist
44.778,Drop,45.245,wrist
46.914,Drop,47.481,wrist
48.982,Drop,49.416,wrist
51.018,Drop,51.418,wrist
52.986,Drop,53.387,wrist
54.955,Drop,55.455,wrist
56.957,Drop,57.391,wrist
58.926,Drop,59.393,wrist
60.961,Drop,61.461,wrist
68.402,Hairpin,68.869,wrist
70.07,Hairpin,70.504,wrist
71.872,Hairpin,72.205,wrist
73.574,Hairpin,73.874,wrist
75.142,Hairpin,75.542,wrist
76.977,Hairpin,77.311,wrist
78.745,Hairpin,79.046,wrist
80.514,Hairpin,80.914,wrist
82.416,Hairpin,82.716,wrist
84.217,Hairpin,84.484,wrist
92.192,Drive,92.426,wrist
94.828,Drive,95.162,wrist
96.129,Drive,96.53,wrist
97.531,Drive,97.965,wrist
99.066,Drive,99.533,wrist
100.601,Drive,101.001,wrist
102.102,Drive,102.502,wrist
103.604,Drive,104.037,wrist
105.205,Drive,105.539,wrist
106.707,Drive,107.074,wrist
113.847,Under,114.081,wrist
115.248,Under,115.482,wrist
116.883,Under,117.05,wrist
118.418,Under,118.819,wrist
119.953,Under,120.487,wrist
121.622,Under,122.122,wrist
123.39,Under,123.724,wrist
124.925,Under,125.392,wrist
126.66,Under,127.027,wrist
128.261,Under,128.695,wrist
