start_sec,end_sec,class,note
0.634,1.134,Clear,interval
1.768,2.636,Clear,interval
3.203,3.871,Clear,interval
4.338,4.972,Clear,interval
5.405,6.139,Clear,interval
6.707,7.374,Clear,interval
7.908,8.609,Clear,interval
9.109,9.71,Clear,interval
10.177,10.744,Clear,interval
11.278,11.879,Clear,interval
13.981,15.082,Drop,interval
15.649,16.416,Drop,interval
16.984,17.851,Drop,interval
18.518,19.319,Drop,interval
19.853,20.621,Drop,interval
21.221,22.022,Drop,interval
22.656,23.29,Drop,interval
23.891,24.625,Drop,interval
25.259,25.826,Drop,interval
26.36,27.194,Drop,interval
28.328,29.229,Hairpin,interval
29.863,30.397,Hairpin,interval
30.898,31.465,Hairpin,interval
31.832,32.432,Hairpin,interval
32.799,33.4,Hairpin,interval
33.834,34.401,Hairpin,interval
34.902,35.469,Hairpin,interval
35.903,36.47,Hairpin,interval
36.904,37.471,Hairpin,interval
37.938,38.472,Hairpin,interval
40.24,40.941,Drive,interval
41.475,41.975,Drive,interval
42.409,43.043,Drive,interval
43.443,44.044,Drive,interval
44.411,44.945,Drive,interval
45.379,45.913,Drive,interval
46.28,46.847,Drive,interval
47.247,47.681,Drive,interval
48.081,48.549,Drive,interval
49.016,49.55,Drive,interval
50.417,51.218,Under,interval
52.119,52.619,Under,interval
53.32,53.82,Under,interval
54.488,54.988,Under,interval
55.656,56.189,Under,interval
56.89,57.324,Under,interval
57.958,58.458,Under,interval
59.293,60.093,Under,interval
61.194,61.862,Under,interval
