t_label_or_start,class,t_peak,used_joint
5.472,Clear,6.206,wrist
7.407,Clear,8.108,wrist
9.343,Clear,9.843,wrist
11.144,Clear,11.912,wrist
13.013,Clear,13.614,wrist
14.982,Clear,15.616,wrist
16.617,Clear,17.184,wrist
18.452,Clear,19.052,wrist
20.32,Clear,20.921,wrist
22.723,Clear,22.789,wrist
24.191,Drop,24.791,wrist
26.059,Drop,26.693,wrist
28.161,Drop,28.729,wrist
29.997,Drop,30.764,wrist
31.999,Drop,32.633,wrist
33.967,Drop,34.601,wrist
36.003,Drop,36.57,wrist
37.905,Drop,38.505,wrist
39.74,Drop,40.374,wrist
41.642,Drop,42.209,wrist
46.48,Hairpin,47.047,wrist
47.915,Hairpin,48.382,wrist
49.383,Hairpin,49.783,wrist
50.784,Hairpin,51.118,wrist
52.152,Hairpin,52.519,wrist
53.487,Hairpin,53.854,wrist
54.755,Hairpin,55.188,wrist
55.989,Hairpin,56.423,wrist
57.324,Hairpin,57.624,wrist
58.492,Hairpin,58.859,wrist
60.794,Drive,61.194,wrist
61.962,Drive,62.162,wrist
62.763,Drive,63.163,wrist
63.73,Drive,64.298,wrist
64.932,Drive,65.332,wrist
65.899,Drive,66.366,wrist
67.0,Drive,67.434,wrist
68.135,Drive,68.502,wrist
69.102,Drive,69.57,wrist
70.203,Drive,70.604,wrist
72.873,Under,73.14,wrist
73.974,Under,74.441,wrist
75.208,Under,75.776,wrist
76.71,Under,77.177,wrist
78.078,Under,78.478,wrist
79.446,Under,79.913,wrist
80.881,Under,81.415,wrist
82.382,Under,82.783,wrist
83.717,Under,84.184,wrist
85.052,Under,85.552,wrist
