start_sec,end_sec,class,note
33.367,34.001,Clear,interval
35.002,35.836,Clear,interval
36.77,37.738,Clear,interval
38.805,39.54,Clear,interval
40.641,41.375,Clear,interval
42.476,43.176,Clear,interval
44.144,44.945,Clear,interval
46.046,46.78,Clear,interval
47.814,48.549,Clear,interval
49.716,50.684,Clear,interval
56.556,57.257,Drop,interval
58.258,58.892,Drop,interval
60.027,60.761,Drop,interval
61.895,62.562,Drop,interval
63.664,64.431,Drop,interval
65.632,66.266,Drop,interval
67.134,67.901,Drop,interval
68.735,69.369,Drop,interval
70.07,70.837,Drop,interval
71.772,72.472,Drop,interval
76.276,77.377,Hairpin,interval
78.111,78.879,Hairpin,interval
79.546,80.347,Hairpin,interval
81.048,81.682,Hairpin,interval
82.382,83.083,Hairpin,interval
83.85,84.518,Hairpin,interval
85.118,85.786,Hairpin,interval
86.42,87.12,Hairpin,interval
87.754,88.488,Hairpin,interval
113.78,114.214,Drive,interval
114.648,115.282,Drive,interval
115.682,116.35,Drive,interval
116.75,117.351,Drive,interval
117.918,118.452,Drive,interval
118.885,119.519,Drive,interval
119.953,120.52,Drive,interval
120.954,121.521,Drive,interval
121.989,122.656,Drive,interval
123.624,123.724,Drive,interval
128.228,128.762,Under,interval
129.529,130.364,Under,interval
131.198,131.965,Under,interval
132.799,133.533,Under,interval
134.301,135.135,Under,interval
135.936,136.703,Under,interval
137.571,138.238,Under,interval
139.072,139.773,Under,interval
140.674,141.308,Under,interval
142.142,142.943,Under,interval
