t_label_or_start,class,t_peak,used_joint
2.89,Clear,3.523,wrist
4.489,Clear,5.023,wrist
6.022,Clear,6.622,wrist
7.589,Clear,8.322,wrist
9.322,Clear,10.022,wrist
11.022,Clear,11.622,wrist
12.588,Clear,13.221,wrist
14.288,Clear,14.721,wrist
16.021,Clear,16.554,wrist
17.687,Clear,18.254,wrist
23.386,Drop,24.586,wrist
25.686,Drop,26.253,wrist
27.452,Drop,27.786,wrist
29.119,Drop,29.419,wrist
30.519,Drop,30.852,wrist
31.852,Drop,32.185,wrist
33.151,Drop,33.585,wrist
34.618,Drop,35.151,wrist
35.984,Drop,36.384,wrist
37.351,Drop,37.784,wrist
39.85,Hairpin,40.084,elbow
41.084,Hairpin,41.35,elbow
42.35,Hairpin,42.783,elbow
43.883,Hairpin,44.083,elbow
45.183,Hairpin,45.483,elbow
46.383,Hairpin,46.849,elbow
47.749,Hairpin,48.182,elbow
49.116,Hairpin,49.449,elbow
50.582,Hairpin,50.815,elbow
51.815,Hairpin,52.215,elbow
60.347,Drive,60.614,wrist
61.28,Drive,61.647,wrist
62.28,Drive,62.647,wrist
63.213,Drive,63.647,wrist
64.246,Drive,64.58,wrist
65.113,Drive,65.546,wrist
66.113,Drive,66.513,wrist
67.046,Drive,67.513,wrist
68.046,Drive,68.412,wrist
71.445,Drive,71.579,wrist
72.045,Under,72.212,wrist
73.012,Under,73.545,wrist
74.578,Under,74.945,wrist
75.911,Under,76.344,wrist
77.378,Under,77.744,wrist
78.777,Under,79.177,wrist
80.244,Under,80.577,wrist
81.61,Under,82.01,wrist
82.943,Under,83.443,wrist
84.443,Under,84.91,wrist
