t_label_or_start,class,t_peak,used_joint
4.218,Clear,4.884,wrist
6.584,Clear,7.184,wrist
8.45,Clear,9.05,wrist
10.217,Clear,10.983,wrist
12.383,Clear,12.983,wrist
14.55,Clear,15.049,wrist
16.383,Clear,16.982,wrist
18.249,Clear,19.015,wrist
20.215,Clear,20.982,wrist
22.082,Clear,22.915,wrist
27.081,Drop,27.914,wrist
28.981,Drop,29.747,wrist
30.947,Drop,31.813,wrist
32.88,Drop,33.88,wrist
35.046,Drop,35.713,wrist
37.079,Drop,37.812,wrist
39.079,Drop,39.879,wrist
41.245,Drop,41.945,wrist
43.378,Drop,44.345,wrist
45.545,Drop,46.111,wrist
50.31,Hairpin,50.777,wrist
52.243,Hairpin,52.843,wrist
54.043,Hairpin,54.476,wrist
55.61,Hairpin,56.109,elbow
57.143,Hairpin,57.543,wrist
58.642,Hairpin,59.076,wrist
60.142,Hairpin,60.742,wrist
61.875,Hairpin,62.308,wrist
63.442,Hairpin,63.775,wrist
64.908,Hairpin,65.341,wrist
72.873,Drive,73.173,wrist
74.673,Drive,74.973,wrist
75.64,Drive,76.073,wrist
77.239,Drive,77.506,wrist
78.273,Drive,78.573,wrist
79.439,Drive,79.606,wrist
80.406,Drive,80.706,wrist
81.405,Drive,81.672,wrist
82.372,Drive,82.805,wrist
86.738,Under,87.204,wrist
88.204,Under,88.538,wrist
89.804,Under,90.171,wrist
91.17,Under,91.537,wrist
92.77,Under,93.104,wrist
94.137,Under,94.57,wrist
95.67,Under,96.07,wrist
97.27,Under,97.803,wrist
99.469,Under,99.469,wrist
99.869,Under,99.936,wrist
