t_label_or_start,class,t_peak,used_joint
0.204,Clear,1.104,wrist
1.637,Clear,2.304,wrist
2.803,Clear,3.47,wrist
4.003,Clear,4.603,wrist
5.103,Clear,5.736,wrist
6.27,Clear,6.903,wrist
7.503,Clear,8.036,wrist
8.569,Clear,9.169,wrist
9.669,Clear,10.302,wrist
11.469,Clear,11.569,wrist
12.002,Drop,13.702,wrist
14.135,Drop,14.602,wrist
15.701,Drop,16.001,wrist
17.134,Drop,17.434,wrist
18.468,Drop,19.134,wrist
19.901,Drop,20.167,wrist
21.367,Drop,21.434,wrist
22.567,Drop,22.667,wrist
23.867,Drop,23.933,wrist
25.033,Drop,25.133,wrist
27.866,Hairpin,27.999,elbow
28.799,Hairpin,28.833,wrist
29.599,Hairpin,29.599,wrist
30.432,Hairpin,30.532,elbow
31.366,Hairpin,31.532,wrist
32.265,Hairpin,32.332,wrist
33.232,Hairpin,33.499,wrist
33.898,Hairpin,33.998,wrist
34.765,Hairpin,34.865,wrist
35.498,Hairpin,35.632,wrist
36.931,Drive,37.165,wrist
37.665,Drive,38.064,wrist
38.631,Drive,38.964,wrist
39.431,Drive,39.664,wrist
40.231,Drive,40.531,wrist
40.964,Drive,41.297,wrist
41.764,Drive,42.064,wrist
42.53,Drive,42.797,wrist
43.33,Drive,43.564,wrist
44.097,Drive,44.163,wrist
45.463,Under,45.73,wrist
46.663,Under,47.23,wrist
48.229,Under,48.663,wrist
49.696,Under,49.996,wrist
50.829,Under,51.262,wrist
52.129,Under,52.629,wrist
53.495,Under,53.929,wrist
54.828,Under,55.295,wrist
56.228,Under,56.595,wrist
57.461,Under,57.861,wrist
