start_sec,end_sec,class,note
4.218,5.118,Clear,interval
6.584,7.484,Clear,interval
8.45,9.317,Clear,interval
10.217,11.217,Clear,interval
12.383,13.25,Clear,interval
14.55,15.383,Clear,interval
16.383,17.249,Clear,interval
18.249,19.282,Clear,interval
20.215,21.248,Clear,interval
22.082,23.281,Clear,interval
27.081,28.147,Drop,interval
28.981,29.88,Drop,interval
30.947,31.913,Drop,interval
32.88,33.88,Drop,interval
35.046,35.846,Drop,interval
37.079,37.946,Drop,interval
39.079,40.012,Drop,interval
41.245,42.112,Drop,interval
43.378,44.345,Drop,interval
45.545,46.278,Drop,interval
50.31,51.077,Hairpin,interval
52.243,53.177,Hairpin,interval
54.043,54.776,Hairpin,interval
55.61,56.309,Hairpin,interval
57.143,57.809,Hairpin,interval
58.642,59.376,Hairpin,interval
60.142,61.009,Hairpin,interval
61.875,62.608,Hairpin,interval
63.442,64.142,Hairpin,interval
64.908,65.708,Hairpin,interval
72.873,73.373,Drive,interval
74.673,75.173,Drive,interval
75.64,76.206,Drive,interval
77.239,77.706,Drive,interval
78.273,78.772,Drive,interval
79.439,79.806,Drive,interval
80.406,80.872,Drive,interval
81.405,81.839,Drive,interval
82.372,82.938,Drive,interval
86.738,87.338,Under,interval
88.204,88.971,Under,interval
89.804,90.437,Under,interval
91.17,91.937,Under,interval
92.77,93.403,Under,interval
94.137,94.87,Under,interval
95.67,96.47,Under,interval
97.27,98.169,Under,interval
99.469,99.569,Under,interval
99.869,99.969,Under,interval
