start_sec,end_sec,class,note
0.837,1.07,Clear,interval
1.637,2.404,Clear,interval
2.97,3.603,Clear,interval
4.137,4.77,Clear,interval
5.236,5.836,Clear,interval
6.303,7.003,Clear,interval
7.503,8.136,Clear,interval
8.636,9.302,Clear,interval
9.836,10.469,Clear,interval
11.302,11.402,Clear,interval
11.902,13.602,Drop,interval
14.168,15.135,Drop,interval
15.701,16.535,Drop,interval
17.201,17.801,Drop,interval
18.434,19.201,Drop,interval
19.934,20.667,Drop,interval
21.434,22.0,Drop,interval
22.6,23.267,Drop,interval
23.933,24.433,Drop,interval
25.033,25.666,Drop,interval
28.066,28.333,Hairpin,interval
28.699,28.999,Hairpin,interval
29.399,29.866,Hairpin,interval
30.232,30.799,Hairpin,interval
31.166,31.765,Hairpin,interval
32.132,32.632,Hairpin,interval
33.032,33.365,Hairpin,interval
33.599,34.165,Hairpin,interval
34.632,35.098,Hairpin,interval
35.432,35.965,Hairpin,interval
37.098,37.265,Drive,interval
37.698,37.964,Drive,interval
38.398,39.031,Drive,interval
39.364,39.831,Drive,interval
40.164,40.597,Drive,interval
40.964,41.397,Drive,interval
41.764,42.23,Drive,interval
42.597,42.93,Drive,interval
43.197,43.497,Drive,interval
43.963,44.33,Drive,interval
45.53,45.863,Under,interval
46.796,47.396,Under,interval
48.196,48.863,Under,interval
49.629,50.196,Under,interval
50.896,51.496,Under,interval
52.195,52.829,Under,interval
53.562,54.129,Under,interval
54.795,55.428,Under,interval
56.228,56.861,Under,interval
57.461,58.195,Under,interval
