t_label_or_start,class,t_peak,used_joint
16.583,Clear,17.184,wrist
18.085,Clear,18.652,wrist
19.653,Clear,20.22,wrist
21.221,Clear,21.755,wrist
22.723,Clear,23.29,wrist
24.291,Clear,24.825,wrist
25.893,Clear,26.426,wrist
27.394,Clear,27.995,wrist
29.096,Clear,29.53,wrist
30.564,Clear,31.098,wrist
38.505,Drop,38.739,wrist
39.973,Drop,40.34,wrist
41.475,Drop,41.808,wrist
42.91,Drop,43.11,wrist
44.244,Drop,44.244,wrist
45.779,Drop,45.779,wrist
47.147,Drop,47.147,wrist
48.482,Drop,48.515,wrist
49.95,Drop,50.317,wrist
53.487,Drop,53.754,elbow
54.655,Hairpin,55.322,wrist
56.423,Hairpin,56.69,elbow
57.524,Hairpin,58.091,elbow
59.026,Hairpin,59.459,wrist
60.494,Hairpin,60.794,wrist
61.795,Hairpin,62.129,wrist
63.096,Hairpin,63.53,elbow
64.464,Hairpin,64.932,elbow
65.999,Hairpin,66.333,wrist
67.334,Hairpin,67.734,elbow
73.34,Drive,73.507,wrist
74.274,Drive,74.641,wrist
75.342,Drive,75.642,wrist
76.343,Drive,76.577,wrist
77.21,Drive,77.544,wrist
78.178,Drive,78.545,wrist
79.212,Drive,79.546,wrist
80.213,Drive,80.547,wrist
81.214,Drive,81.381,wrist
82.049,Drive,82.382,wrist
85.385,Under,85.619,wrist
86.653,Under,87.02,wrist
88.055,Under,88.422,wrist
89.456,Under,90.123,wrist
91.024,Under,91.391,wrist
92.459,Under,92.893,wrist
94.094,Under,94.394,wrist
95.529,Under,96.063,wrist
97.064,Under,97.431,wrist
98.632,Under,98.932,wrist
