start_sec,end_sec,class,note
0.6,1.466,Clear,interval
2.4,3.266,Clear,interval
4.166,5.133,Clear,interval
5.999,6.999,Clear,interval
7.865,8.832,Clear,interval
9.898,10.698,Clear,interval
11.631,12.531,Clear,interval
13.465,14.464,Clear,interval
15.398,16.197,Clear,interval
17.231,18.197,Clear,interval
19.464,19.997,Drop,interval
21.297,21.963,Drop,interval
22.996,23.829,Drop,interval
25.063,25.696,Drop,interval
26.862,27.496,Drop,interval
28.762,29.495,Drop,interval
30.728,31.562,Drop,interval
32.861,33.495,Drop,interval
34.594,35.328,Drop,interval
36.594,37.127,Drop,interval
41.927,42.693,Hairpin,interval
43.293,44.126,Hairpin,interval
44.793,45.493,Hairpin,interval
46.193,46.859,Hairpin,interval
47.626,48.426,Hairpin,interval
49.159,49.859,Hairpin,interval
50.658,51.325,Hairpin,interval
51.992,52.692,Hairpin,interval
53.391,54.058,Hairpin,interval
54.725,55.391,Hairpin,interval
56.658,57.157,Drive,interval
57.724,58.257,Drive,interval
58.791,59.324,Drive,interval
59.89,60.424,Drive,interval
61.024,61.423,Drive,interval
62.057,62.49,Drive,interval
63.09,63.556,Drive,interval
64.223,64.69,Drive,interval
65.256,65.823,Drive,interval
66.39,66.956,Drive,interval
67.856,68.556,Under,interval
69.189,69.889,Under,interval
70.722,71.389,Under,interval
72.088,72.822,Under,interval
73.555,74.188,Under,interval
74.955,75.621,Under,interval
76.154,76.921,Under,interval
77.587,78.354,Under,interval
78.987,79.754,Under,interval
80.387,81.087,Under,interval
