start_sec,end_sec,class,note
0.467,1.201,Clear,interval
1.802,2.703,Clear,interval
3.237,3.871,Clear,interval
4.371,4.905,Clear,interval
5.372,6.106,Clear,interval
6.673,7.307,Clear,interval
7.908,8.675,Clear,interval
9.076,9.676,Clear,interval
10.01,10.744,Clear,interval
11.144,11.945,Clear,interval
14.214,14.848,Drop,interval
15.549,16.35,Drop,interval
16.95,17.684,Drop,interval
18.418,19.219,Drop,interval
19.82,20.554,Drop,interval
21.221,21.889,Drop,interval
22.523,23.09,Drop,interval
23.757,24.391,Drop,interval
25.158,25.659,Drop,interval
26.293,26.96,Drop,interval
28.395,29.263,Hairpin,interval
29.93,30.464,Hairpin,interval
30.898,31.465,Hairpin,interval
31.865,32.432,Hairpin,interval
32.766,33.433,Hairpin,interval
33.901,34.401,Hairpin,interval
34.868,35.402,Hairpin,interval
35.836,36.403,Hairpin,interval
36.837,37.404,Hairpin,interval
37.838,38.438,Hairpin,interval
39.373,40.874,Drive,interval
41.441,42.042,Drive,interval
42.409,43.01,Drive,interval
43.41,43.977,Drive,interval
44.344,44.945,Drive,interval
45.379,45.879,Drive,interval
46.28,46.847,Drive,interval
47.214,47.681,Drive,interval
48.081,48.582,Drive,interval
48.982,49.55,Drive,interval
50.651,51.318,Under,interval
51.919,52.686,Under,interval
53.287,53.82,Under,interval
54.421,55.022,Under,interval
55.589,56.156,Under,interval
56.757,57.324,Under,interval
57.991,58.525,Under,interval
59.226,59.693,Under,interval
60.26,60.727,Under,interval
61.295,61.895,Under,interval
