t_label_or_start,class,t_peak,used_joint
5.172,Clear,5.639,wrist
6.84,Clear,7.441,wrist
8.775,Clear,9.343,wrist
10.677,Clear,11.278,wrist
12.746,Clear,13.313,wrist
18.118,Clear,18.752,wrist
19.987,Clear,20.587,wrist
21.822,Clear,22.422,wrist
23.59,Clear,24.324,wrist
25.425,Clear,26.226,wrist
43.243,Drop,43.243,wrist
44.711,Drop,45.245,wrist
46.747,Drop,47.481,wrist
48.849,Drop,49.65,wrist
50.918,Drop,51.585,wrist
52.92,Drop,53.587,wrist
54.955,Drop,55.622,wrist
56.924,Drop,57.391,wrist
59.026,Drop,59.66,wrist
61.028,Drop,61.695,wrist
67.634,Hairpin,68.869,wrist
69.97,Hairpin,70.504,wrist
71.705,Hairpin,72.205,wrist
73.473,Hairpin,73.874,wrist
75.108,Hairpin,75.542,wrist
76.977,Hairpin,77.311,wrist
78.712,Hairpin,79.046,wrist
80.48,Hairpin,80.914,wrist
82.349,Hairpin,82.716,wrist
84.151,Hairpin,84.484,wrist
92.225,Drive,92.426,wrist
94.795,Drive,95.162,wrist
96.096,Drive,96.53,wrist
97.497,Drive,97.965,wrist
98.966,Drive,99.533,wrist
100.534,Drive,101.001,wrist
102.002,Drive,102.502,wrist
103.537,Drive,104.037,wrist
105.138,Drive,105.539,wrist
113.68,Under,114.081,wrist
115.282,Under,115.482,wrist
116.883,Under,117.05,wrist
118.385,Under,118.819,wrist
120.053,Under,120.487,wrist
121.755,Under,122.122,wrist
123.39,Under,123.724,wrist
124.925,Under,125.392,wrist
126.626,Under,127.027,wrist
128.261,Under,128.695,wrist
