t_label_or_start,class,t_peak,used_joint
33.367,Clear,33.901,wrist
35.002,Clear,35.702,wrist
36.77,Clear,37.571,wrist
38.805,Clear,39.373,wrist
40.641,Clear,40.974,wrist
42.476,Clear,42.976,wrist
44.144,Clear,44.745,wrist
46.046,Clear,46.547,wrist
47.814,Clear,48.348,wrist
49.716,Clear,50.217,wrist
56.556,Drop,56.89,wrist
58.258,Drop,58.725,wrist
60.027,Drop,60.561,wrist
61.895,Drop,62.296,wrist
63.664,Drop,64.197,wrist
65.632,Drop,66.099,wrist
67.134,Drop,67.701,wrist
68.735,Drop,69.169,wrist
70.07,Drop,70.704,wrist
71.772,Drop,72.272,wrist
76.276,Hairpin,77.044,elbow
78.111,Hairpin,78.478,elbow
79.546,Hairpin,79.947,elbow
81.048,Hairpin,81.214,elbow
82.382,Hairpin,82.716,elbow
83.85,Hairpin,84.151,elbow
85.118,Hairpin,85.452,elbow
86.42,Hairpin,86.753,elbow
87.754,Hairpin,88.155,elbow
113.78,Drive,114.114,wrist
114.648,Drive,115.182,wrist
115.682,Drive,116.216,wrist
116.75,Drive,117.25,wrist
117.918,Drive,118.251,wrist
118.885,Drive,119.319,wrist
119.953,Drive,120.354,wrist
120.954,Drive,121.455,wrist
121.989,Drive,122.489,wrist
123.624,Drive,123.724,wrist
128.228,Under,128.495,wrist
129.529,Under,130.03,wrist
131.198,Under,131.565,wrist
132.799,Under,133.3,wrist
134.301,Under,134.835,wrist
135.936,Under,136.403,wrist
137.571,Under,137.938,wrist
139.072,Under,139.473,wrist
140.674,Under,140.907,wrist
142.142,Under,142.542,wrist
