t_label_or_start,class,t_peak,used_joint
12.327,Clear,12.793,wrist
13.627,Clear,14.326,wrist
15.126,Clear,15.726,wrist
16.526,Clear,17.126,wrist
17.993,Clear,18.526,wrist
19.359,Clear,19.926,wrist
20.759,Clear,21.392,wrist
22.259,Clear,22.825,wrist
23.692,Clear,24.258,wrist
33.923,Clear,34.757,wrist
35.656,Drop,35.723,wrist
37.223,Drop,37.589,wrist
38.689,Drop,38.756,wrist
40.189,Drop,40.222,wrist
41.522,Drop,42.289,wrist
43.022,Drop,43.722,wrist
44.555,Drop,45.321,wrist
46.121,Drop,46.255,wrist
47.621,Drop,47.754,wrist
49.121,Drop,49.687,wrist
55.586,Hairpin,56.153,elbow
56.92,Hairpin,57.453,elbow
58.253,Hairpin,58.719,elbow
59.453,Hairpin,59.919,wrist
60.652,Hairpin,61.119,wrist
61.819,Hairpin,62.385,wrist
63.152,Hairpin,63.619,wrist
64.452,Hairpin,64.885,wrist
65.585,Hairpin,66.051,wrist
66.751,Hairpin,67.218,wrist
90.314,Drive,90.614,wrist
91.414,Drive,91.714,wrist
92.747,Drive,92.947,wrist
93.747,Drive,93.814,wrist
94.88,Drive,95.18,wrist
95.98,Drive,96.313,wrist
97.113,Drive,97.48,wrist
98.28,Drive,98.446,wrist
99.113,Drive,99.379,wrist
100.113,Drive,100.379,wrist
107.911,Under,108.311,wrist
109.444,Under,109.811,wrist
111.078,Under,111.511,wrist
112.644,Under,112.977,wrist
114.144,Under,114.51,wrist
115.743,Under,116.21,wrist
117.243,Under,117.776,wrist
118.776,Under,119.176,wrist
120.243,Under,120.643,wrist
124.642,Under,124.709,wrist
