t_label_or_start,class,t_peak,used_joint
0.634,Clear,0.934,wrist
1.768,Clear,2.236,wrist
3.203,Clear,3.47,wrist
4.338,Clear,4.771,wrist
5.405,Clear,5.839,wrist
6.707,Clear,7.207,wrist
7.908,Clear,8.275,wrist
9.109,Clear,9.309,wrist
10.177,Clear,10.41,wrist
11.278,Clear,11.645,wrist
13.981,Drop,14.514,wrist
15.649,Drop,15.916,wrist
16.984,Drop,17.451,wrist
18.518,Drop,18.819,wrist
19.853,Drop,20.22,wrist
21.221,Drop,21.521,wrist
22.656,Drop,22.789,wrist
23.891,Drop,24.091,wrist
25.259,Drop,25.325,wrist
26.36,Drop,26.66,wrist
28.328,Hairpin,28.962,wrist
29.863,Hairpin,30.03,wrist
30.898,Hairpin,31.098,wrist
31.832,Hairpin,32.065,wrist
32.799,Hairpin,33.066,wrist
33.834,Hairpin,34.034,wrist
34.902,Hairpin,35.068,wrist
35.903,Hairpin,36.069,wrist
36.904,Hairpin,37.07,wrist
37.938,Hairpin,38.105,wrist
40.24,Drive,40.807,wrist
41.475,Drive,41.875,wrist
42.409,Drive,42.743,wrist
43.443,Drive,43.744,wrist
44.411,Drive,44.711,wrist
45.379,Drive,45.646,wrist
46.28,Drive,46.58,wrist
47.247,Drive,47.481,wrist
48.081,Drive,48.348,wrist
49.016,Drive,49.316,wrist
50.417,Under,51.051,wrist
52.119,Under,52.252,wrist
53.32,Under,53.453,wrist
54.488,Under,54.588,wrist
55.656,Under,55.789,wrist
56.89,Under,57.057,wrist
57.958,Under,58.191,wrist
59.293,Under,59.359,wrist
61.194,Under,61.662,wrist
