t_label_or_start,class,t_peak,used_joint
0.6,Clear,1.266,wrist
2.4,Clear,3.033,wrist
4.166,Clear,4.866,wrist
5.999,Clear,6.732,wrist
7.865,Clear,8.599,wrist
9.898,Clear,10.465,wrist
11.631,Clear,12.331,wrist
13.465,Clear,14.131,wrist
15.398,Clear,15.964,wrist
17.231,Clear,17.997,wrist
19.464,Drop,19.93,wrist
21.297,Drop,21.863,wrist
22.996,Drop,23.763,wrist
25.063,Drop,25.563,wrist
26.862,Drop,27.396,wrist
28.762,Drop,29.329,wrist
30.728,Drop,31.562,wrist
32.861,Drop,33.395,wrist
34.594,Drop,35.328,wrist
36.594,Drop,37.027,wrist
41.927,Hairpin,42.36,wrist
43.293,Hairpin,43.793,wrist
44.793,Hairpin,45.193,wrist
46.193,Hairpin,46.626,wrist
47.626,Hairpin,48.192,wrist
49.159,Hairpin,49.592,wrist
50.658,Hairpin,51.025,wrist
51.992,Hairpin,52.392,wrist
53.391,Hairpin,53.725,wrist
54.725,Hairpin,55.091,wrist
56.658,Drive,56.991,wrist
57.724,Drive,58.057,wrist
58.791,Drive,59.124,wrist
59.89,Drive,60.224,wrist
61.024,Drive,61.223,wrist
62.057,Drive,62.323,wrist
63.09,Drive,63.423,wrist
64.223,Drive,64.49,wrist
65.256,Drive,65.623,wrist
66.39,Drive,66.756,wrist
67.856,Under,68.389,wrist
69.189,Under,69.622,wrist
70.722,Under,71.122,wrist
72.088,Under,72.555,wrist
73.555,Under,73.921,wrist
74.955,Under,75.288,wrist
76.154,Under,76.654,wrist
77.587,Under,78.054,wrist
78.987,Under,79.387,wrist
80.387,Under,80.754,wrist
