start_sec,end_sec,class,note
8.842,9.776,Clear,interval
10.477,11.278,Clear,interval
12.012,12.779,Clear,interval
13.347,14.081,Clear,interval
14.681,15.449,Clear,interval
16.083,16.717,Clear,interval
17.251,17.918,Clear,interval
18.585,19.219,Clear,interval
19.92,20.621,Clear,interval
21.288,21.955,Clear,interval
28.428,29.296,Drop,interval
30.697,31.632,Drop,interval
32.499,33.467,Drop,interval
34.434,35.002,Drop,interval
35.869,36.637,Drop,interval
37.571,38.171,Drop,interval
39.072,39.673,Drop,interval
40.507,41.041,Drop,interval
41.909,42.576,Drop,interval
43.343,44.044,Drop,interval
52.352,52.92,Hairpin,interval
53.654,54.121,Hairpin,interval
54.855,55.355,Hairpin,interval
56.089,56.523,Hairpin,interval
57.124,57.658,Hairpin,interval
58.125,58.659,Hairpin,interval
59.159,59.626,Hairpin,interval
60.127,60.627,Hairpin,interval
61.161,61.728,Hairpin,interval
62.229,62.729,Hairpin,interval
66.066,66.466,Drive,interval
66.967,67.467,Drive,interval
67.901,68.268,Drive,interval
68.635,69.002,Drive,interval
69.369,69.77,Drive,interval
70.103,70.537,Drive,interval
70.837,71.171,Drive,interval
71.505,71.838,Drive,interval
72.172,72.439,Drive,interval
72.806,73.106,Drive,interval
79.146,80.213,Under,interval
80.948,81.315,Under,interval
81.848,82.416,Under,interval
82.95,83.517,Under,interval
84.084,84.718,Under,interval
85.385,85.819,Under,interval
86.453,87.02,Under,interval
87.588,88.155,Under,interval
88.555,89.222,Under,interval
89.756,90.29,Under,interval
