t_label_or_start,class,t_peak,used_joint
5.038,Clear,5.706,wrist
7.174,Clear,7.875,wrist
9.142,Clear,9.81,wrist
11.144,Clear,11.778,wrist
12.946,Clear,13.58,wrist
14.848,Clear,15.449,wrist
16.583,Clear,17.251,wrist
18.352,Clear,18.886,wrist
20.153,Clear,20.821,wrist
22.289,Clear,22.356,wrist
26.727,Drop,27.394,wrist
28.695,Drop,29.53,wrist
30.898,Drop,31.598,wrist
33.1,Drop,33.667,wrist
35.168,Drop,35.802,wrist
37.304,Drop,37.971,wrist
39.573,Drop,40.24,wrist
41.875,Drop,42.409,wrist
44.044,Drop,44.678,wrist
46.079,Drop,46.647,wrist
50.484,Hairpin,50.851,wrist
52.219,Hairpin,52.486,wrist
53.687,Hairpin,54.154,wrist
55.455,Hairpin,55.856,wrist
57.09,Hairpin,57.457,wrist
58.725,Hairpin,59.126,wrist
60.494,Hairpin,60.928,wrist
62.162,Hairpin,62.462,wrist
63.664,Hairpin,64.064,wrist
65.198,Hairpin,65.599,wrist
72.706,Drive,73.106,wrist
73.974,Drive,74.141,wrist
75.208,Drive,75.342,wrist
76.276,Drive,76.376,wrist
77.277,Drive,77.477,wrist
78.345,Drive,78.645,wrist
79.513,Drive,79.713,wrist
80.514,Drive,80.814,wrist
81.615,Drive,81.915,wrist
82.716,Drive,83.05,wrist
85.385,Under,85.686,wrist
86.687,Under,87.12,wrist
88.188,Under,88.589,wrist
89.723,Under,90.057,wrist
91.158,Under,91.525,wrist
92.626,Under,93.026,wrist
94.061,Under,94.428,wrist
95.429,Under,95.862,wrist
96.964,Under,97.297,wrist
98.265,Under,98.699,wrist
