start_sec,end_sec,class,note
5.072,5.839,Clear,interval
6.94,7.708,Clear,interval
8.876,9.643,Clear,interval
10.711,11.645,Clear,interval
12.846,13.68,Clear,interval
18.218,18.986,Clear,interval
19.853,20.888,Clear,interval
21.788,22.689,Clear,interval
23.59,24.625,Clear,interval
25.559,26.527,Clear,interval
42.809,43.577,Drop,interval
44.778,45.379,Drop,interval
46.914,47.481,Drop,interval
48.982,49.616,Drop,interval
51.018,51.552,Drop,interval
52.986,53.52,Drop,interval
54.955,55.589,Drop,interval
56.957,57.558,Drop,interval
58.926,59.559,Drop,interval
60.961,61.595,Drop,interval
68.402,69.269,Hairpin,interval
70.07,70.804,Hairpin,interval
71.872,72.639,Hairpin,interval
73.574,74.074,Hairpin,interval
75.142,75.809,Hairpin,interval
76.977,77.578,Hairpin,interval
78.745,79.313,Hairpin,interval
80.514,81.248,Hairpin,interval
82.416,82.916,Hairpin,interval
84.217,84.751,Hairpin,interval
92.192,92.693,Drive,interval
94.828,95.295,Drive,interval
96.129,96.663,Drive,interval
97.531,98.231,Drive,interval
99.066,99.633,Drive,interval
100.601,101.134,Drive,interval
102.102,102.636,Drive,interval
103.604,104.204,Drive,interval
105.205,105.772,Drive,interval
106.707,107.374,Drive,interval
113.847,114.281,Under,interval
115.248,115.916,Under,interval
116.883,117.517,Under,interval
118.418,119.119,Under,interval
119.953,120.621,Under,interval
121.622,122.255,Under,interval
123.39,123.89,Under,interval
124.925,125.525,Under,interval
126.66,127.227,Under,interval
128.261,129.062,Under,interval
